timestamp,app_name,load_level,run_id,node_id,node_cpu_watts,cpu_usage_mcores,ram_usage_mi,disk_total_gb,disk_used_gb,disk_free_gb,disk_read_mb,disk_write_mb,disk_read_ios,disk_write_ios,cpu_psi_some_pct,cpu_psi_some_us,sched_total_ms,sched_count,dstate_total_ms,dstate_count,softirq_total_ms,softirq_count
2026-03-26 10:43:50,BASELINE,low,0,worker1,221,2560.0,25524.55,878.04,128.48,704.89,61.0234,9.5156,2742,244,4160447.7484,208022387419,24138.179,96966,202.99,2102,103.843,2936
2026-03-26 10:43:55,BASELINE,low,0,worker1,216,1792.0,25514.57,878.04,128.48,704.89,17.6016,1.1719,664,138,29.8596,1492981,32517.374,62723,81.725,1208,68.435,1827
2026-03-26 10:44:00,BASELINE,low,0,worker1,217,2816.0,25510.46,878.04,128.48,704.89,0.1797,5.4688,6,146,29.3288,1466441,22103.626,58163,36.596,998,59.018,1400
2026-03-26 10:44:05,BASELINE,low,0,worker1,215,3072.0,25506.39,878.04,128.48,704.89,13.7188,2.1094,664,298,20.2642,1013208,12095.869,61318,178.103,1182,58.211,1443
2026-03-26 10:44:10,BASELINE,low,0,worker1,219,1536.0,25521.96,878.04,128.48,704.89,77.9844,0.7031,3052,96,26.3453,1317266,11889.677,62083,162.994,1535,80.568,2173
2026-03-26 10:44:15,BASELINE,low,0,worker1,217,2560.0,25552.8,878.04,128.48,704.89,55.3672,1.7422,2296,208,11.3521,567603,9857.965,66053,119.59,1526,58.286,1621
2026-03-26 10:44:20,BASELINE,low,0,worker1,221,3072.0,25542.79,878.04,128.48,704.89,12.6172,0.7109,548,118,11.3223,566115,7178.675,65396,93.24,1113,66.575,2015
2026-03-26 10:44:25,BASELINE,low,0,worker1,216,1280.0,25545.91,878.04,128.48,704.89,0.75,1.2266,22,140,30.9425,1547126,32176.113,62748,63.397,1073,69.646,1802
2026-03-26 10:44:30,BASELINE,low,0,worker1,220,2560.0,25530.91,878.04,128.48,704.89,83.7422,3.0625,3402,118,34.4809,1724047,32077.054,62364,253.267,1666,68.12,1635
2026-03-26 10:44:35,BASELINE,low,0,worker1,218,2304.0,25526.27,878.04,128.48,704.89,18.0938,4.1719,866,304,3.3202,166008,8508.846,59105,76.75,1158,62.081,1482
2026-03-26 10:44:40,BASELINE,low,0,worker1,219,4352.0,25575.01,878.04,128.48,704.89,0.0312,0.75,4,90,12.5652,628262,8323.875,62130,46.619,1024,61.942,1508
2026-03-26 10:44:45,BASELINE,low,0,worker1,219,2816.0,25539.77,878.04,128.48,704.89,72.7812,1.8359,2896,236,18.7903,939513,10574.516,64832,198.828,1632,67.063,1779
2026-03-26 10:44:50,BASELINE,low,0,worker1,224,2816.0,25501.04,878.04,128.49,704.89,43.3594,0.6719,1784,92,21.5529,1077646,16056.901,67421,119.304,1354,76.754,2465
2026-03-26 10:44:55,BASELINE,low,0,worker1,217,2304.0,25516.14,878.04,128.49,704.89,19.7031,1.8125,708,166,36.2627,1813136,27245.925,63529,94.625,1205,72.024,1985
2026-03-26 10:45:00,BASELINE,low,0,worker1,217,1536.0,25526.21,878.04,128.49,704.89,1.7891,3.2422,38,154,30.7188,1535938,24454.19,57800,41.583,1020,63.255,1526
2026-03-26 10:45:05,BASELINE,low,0,worker1,217,3072.0,25502.77,878.04,128.49,704.89,94.8594,4.3359,3916,312,9.5407,477034,10004.984,65308,218.293,1728,73.155,1813
2026-03-26 10:45:10,BASELINE,low,0,worker1,218,2304.0,25504.9,878.04,128.49,704.89,9.2188,1.7734,322,224,13.9261,696307,6011.547,59699,68.634,1073,60.636,1443
2026-03-26 10:45:15,BASELINE,low,0,worker1,218,2816.0,25503.07,878.04,128.49,704.89,113.7344,1.9453,4576,236,18.0527,902633,17029.366,67349,228.938,1867,63.364,1691
2026-03-26 10:45:20,BASELINE,low,0,worker1,220,1792.0,25503.4,878.04,128.49,704.88,72.1562,0.6484,2826,78,34.3776,1718881,15160.929,62779,288.102,1548,65.843,2089
2026-03-26 10:45:25,BASELINE,low,0,worker1,216,2304.0,25490.64,878.04,128.49,704.88,88.7891,1.3828,3496,154,29.8537,1492686,26216.858,67121,211.101,1614,86.801,2306
2026-03-26 10:45:30,BASELINE,low,0,worker1,219,2304.0,25500.39,878.04,128.49,704.88,15.9922,0.4609,742,74,29.0909,1454547,39012.677,60436,73.882,1134,66.809,1718
2026-03-26 10:45:35,BASELINE,low,0,worker1,215,1536.0,25506.06,878.04,128.49,704.88,19.7109,6.3984,840,224,8.1796,408982,4851.137,62386,82.503,1155,67.188,1773
2026-03-26 10:45:40,BASELINE,low,0,worker1,219,2816.0,25505.45,878.04,128.49,704.88,0.0,1.3125,0,208,12.2082,610409,7473.446,57965,44.793,1045,57.91,1403
2026-03-26 10:45:45,BASELINE,low,0,worker1,220,3072.0,25504.96,878.04,128.49,704.88,50.2031,1.3984,2100,154,14.3319,716595,7642.252,63812,150.164,1427,61.263,1697
2026-03-26 10:45:50,BASELINE,low,0,worker1,221,1792.0,25536.96,878.04,128.49,704.88,14.9766,0.7344,734,100,31.0168,1550842,30806.309,61404,237.588,1118,75.137,2156
2026-03-26 10:45:55,BASELINE,low,0,worker1,219,3072.0,25514.25,878.04,128.49,704.88,17.75,1.5859,596,212,25.3312,1266561,28693.214,65007,119.263,1174,71.54,1940
2026-03-26 10:46:00,BASELINE,low,0,worker1,218,1536.0,25505.09,878.04,128.49,704.88,0.1797,0.8281,6,106,28.8675,1443374,20076.21,60299,44.257,1022,58.325,1453
2026-03-26 10:46:05,BASELINE,low,0,worker1,216,2048.0,25492.55,878.04,128.49,704.88,1.2344,6.125,38,174,1.3431,67154,2395.101,60527,50.528,1043,55.783,1377
2026-03-26 10:46:10,BASELINE,low,0,worker1,218,3072.0,25511.21,878.04,128.49,704.88,1.1406,1.7344,70,236,22.4978,1124890,13438.19,59961,49.053,1035,64.019,1561
2026-03-26 10:46:15,BASELINE,low,0,worker1,216,1792.0,25518.24,878.04,128.49,704.88,32.2891,1.4219,1560,144,15.3671,768355,17294.988,68702,102.268,1382,69.998,1839
2026-03-26 10:46:20,BASELINE,low,0,worker1,220,3328.0,25511.84,878.04,128.49,704.88,1.0938,0.9453,34,106,21.7658,1088289,14758.348,62031,45.957,1010,63.177,2015
2026-03-26 10:46:25,BASELINE,low,0,worker1,220,2304.0,25521.93,878.04,128.49,704.88,0.0,1.125,0,160,32.1089,1605447,16087.122,60929,148.477,1031,67.3,1796
2026-03-26 10:46:30,BASELINE,low,0,worker1,218,1536.0,25535.07,878.04,128.49,704.88,0.0,0.9453,0,114,41.3351,2066756,13647.404,60385,56.637,1071,59.812,1466
2026-03-26 10:46:35,BASELINE,low,0,worker1,217,2560.0,25510.15,878.04,128.49,704.88,0.2109,5.6094,22,156,5.6583,282916,5308.69,59146,48.98,1053,56.195,1362
2026-03-26 10:46:40,BASELINE,low,0,worker1,219,3328.0,25497.73,878.04,128.49,704.88,0.0,0.7969,0,114,18.7629,938147,13744.848,62722,44.923,1035,69.088,1629
2026-03-26 10:46:45,BASELINE,low,0,worker1,218,2048.0,25501.04,878.04,128.49,704.88,11.375,2.1172,540,282,23.6052,1180261,23976.807,65461,68.253,1155,66.236,1825
2026-03-26 10:46:50,BASELINE,low,0,worker1,224,4096.0,25515.32,878.04,128.49,704.88,176.3125,0.7812,7046,118,30.711,1535552,18571.081,65608,467.041,2241,71.436,2298
