window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts
0,hotel/consul,29.06,31.97,201.48,0.0,0,11055,13060.4094,13.7114,11.6159,0.1444
0,hotel/frontend,0.46,122.02,1119.14,0.0,0,0,0.0,0.217,0.0,0.0782
0,hotel/geo,1.67,19.13,1119.06,0.0,0,367,433.5749,0.788,0.0,0.0779
0,hotel/jaeger,0.33,14.78,81.01,0.0,0,0,0.0,0.1557,0.0,0.0746
0,hotel/memcached-profile,0.44,7.76,79.25,0.0,0,0,0.0,0.2076,0.0,0.0746
0,hotel/memcached-rate,0.44,7.7,79.25,0.0,0,0,0.0,0.2076,0.0,0.0746
0,hotel/memcached-reserve,0.39,7.42,79.25,0.0,0,0,0.0,0.184,0.0,0.0745
0,hotel/mongodb-geo,10.68,69.18,400.43,0.0,0,452,533.9941,5.0391,11.6159,0.1012
0,hotel/mongodb-profile,10.87,69.74,400.43,0.0,0,598,706.479,5.1288,11.6159,0.1017
0,hotel/mongodb-rate,11.86,71.33,400.43,0.0234,2,309,365.0535,5.5959,11.6159,0.1042
0,hotel/mongodb-recommendation,10.54,69.81,400.43,0.0,0,564,666.3113,4.9731,11.6159,0.1009
0,hotel/mongodb-reservation,10.3,267.56,400.43,0.0,0,498,588.3387,4.8598,11.6159,0.1065
0,hotel/mongodb-user,10.72,69.44,400.43,0.0,0,413,487.9194,5.058,11.6159,0.1013
0,hotel/profile,1.59,38.48,1119.06,0.0,0,890,1051.4486,0.7502,0.0,0.0784
0,hotel/rate,1.32,35.3,1119.14,0.0,0,828,978.2016,0.6228,0.0,0.0776
0,hotel/recommendation,1.25,17.02,1119.06,0.0,0,648,765.5491,0.5898,0.0,0.0769
0,hotel/reservation,1.38,105.07,1119.06,0.0,0,435,513.9103,0.6511,0.0,0.0799
0,hotel/search,0.44,31.89,1119.06,0.0,0,0,0.0,0.2076,0.0,0.0754
0,hotel/user,1.44,14.24,1119.06,0.0,0,544,642.6832,0.6794,0.0,0.0772
1,hotel/consul,28.11,31.23,201.48,0.0,0,3851,638.8709,0.7039,370.1286,0.1421
1,hotel/frontend,9384.81,172.87,1119.14,0.0,0,1182314,196142.8289,235.0164,370.1286,22.7221
1,hotel/geo,909.18,27.94,1119.06,0.0,0,2175,360.8269,22.7679,370.1286,2.2678
1,hotel/jaeger,0.34,14.78,81.01,0.0,0,0,0.0,0.0085,0.0,0.0746
1,hotel/memcached-profile,158.76,8.32,79.25,0.0,0,2525,418.891,3.9757,370.1286,0.4566
1,hotel/memcached-rate,136.92,8.55,79.25,0.0,0,3272,542.8163,3.4288,370.1286,0.4039
1,hotel/memcached-reserve,186.71,8.57,79.25,0.0,0,2053,340.5874,4.6756,370.1286,0.5241
1,hotel/mongodb-geo,9.83,68.86,400.43,0.0234,2,253,41.972,0.2462,0.0,0.0992
1,hotel/mongodb-profile,9.65,69.73,400.43,0.0234,2,345,57.2346,0.2417,0.0,0.0988
1,hotel/mongodb-rate,9.0,70.86,400.43,0.0,0,299,49.6033,0.2254,0.0,0.0972
1,hotel/mongodb-recommendation,10.96,69.36,400.43,0.0234,2,405,67.1885,0.2745,370.1286,0.1019
1,hotel/mongodb-reservation,11.71,267.51,400.43,0.0547,16,259,42.9674,0.2932,370.1286,0.1099
1,hotel/mongodb-user,11.77,69.0,400.43,0.0234,2,337,55.9074,0.2947,370.1286,0.1039
1,hotel/profile,2846.58,56.46,1119.06,0.0,0,286566,47540.5568,71.2847,370.1286,6.9432
1,hotel/rate,1390.07,53.51,1119.14,0.0,0,2672,443.2779,34.8104,370.1286,3.4289
1,hotel/recommendation,557.88,23.23,1119.06,0.0,0,3388,562.0604,13.9705,370.1286,1.4201
1,hotel/reservation,3470.37,125.91,1119.06,0.0,0,922829,153094.9398,86.9057,370.1286,8.4504
1,hotel/search,2610.62,51.11,1119.06,0.0,0,27793,4610.7867,65.3757,370.1286,6.3737
1,hotel/user,46.3,16.78,1119.06,0.0,0,1377,228.4407,1.1595,370.1286,0.1855
2,hotel/consul,29.17,31.23,201.48,0.0,0,4046,682.3287,0.4831,353.9203,0.1447
2,hotel/frontend,9125.6,179.88,1119.14,0.0,0,1184194,199705.7668,151.1455,353.9203,22.0969
2,hotel/geo,873.08,24.26,1119.06,0.0,0,2369,399.5147,14.4606,353.9203,2.1806
2,hotel/jaeger,0.36,14.78,81.01,0.0,0,0,0.0,0.006,0.0,0.0746
2,hotel/memcached-profile,137.78,8.06,79.25,0.0,0,3223,543.5357,2.282,353.9203,0.406
2,hotel/memcached-rate,130.07,8.05,79.25,0.0,0,3594,606.1021,2.1543,353.9203,0.3874
2,hotel/memcached-reserve,191.83,7.73,79.25,0.0,0,1421,239.6414,3.1772,353.9203,0.5364
2,hotel/mongodb-geo,9.58,68.87,400.43,0.0508,12,534,90.0552,0.1587,0.0,0.0986
2,hotel/mongodb-profile,9.11,69.93,400.43,0.0,0,286,48.2318,0.1509,0.0,0.0975
2,hotel/mongodb-rate,10.99,71.07,400.43,0.0,0,340,57.3385,0.182,353.9203,0.102
