window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts,tier
1,es-stress-d/elasticsearch-dynamic-0,1015.08,40446.59,1414.08,0.0039,1,1903,2393.8308,28.842,8.5266,0.0,A
1,hotel1/user,1.44,18.71,1119.06,0.0,0,314,557.7351,2.4509,2.6052,0.0,A
1,hotel1/reservation,1.32,50.76,1119.06,0.0,0,382,557.7351,2.4509,8.5266,0.0,A
1,hotel1/search,0.81,22.06,1119.06,0.0,0,115,557.7351,2.4509,2.6052,0.01,A
1,es-stress-d3/elasticsearch-dynamic-0,1014.44,40324.32,1414.09,0.0039,1,134,557.7351,28.7889,8.5266,0.0,A
1,es-stress-d4/elasticsearch-dynamic-0,1014.93,38820.86,1414.09,0.0039,1,989,1244.0876,28.2537,8.5266,0.0201,A
1,es-stress-d5/elasticsearch-dynamic-0,1016.72,41301.46,1414.08,0.0039,1,83,557.7351,29.1732,8.5266,0.01,A
1,hotel1/consul,36.21,31.57,212.87,0.0,0,12978,16325.3474,2.4509,8.5266,0.0201,A
1,hotel1/frontend,0.86,86.02,1119.14,0.0,0,74,557.7351,2.4509,8.5266,0.0,A
1,hotel1/geo,1.39,23.93,1119.06,0.0,0,599,753.4969,2.4509,2.6052,0.01,A
1,hotel1/jaeger,0.3,14.89,81.01,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
1,hotel1/memcached-profile,0.44,7.7,79.27,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
1,hotel1/memcached-rate,0.49,7.52,79.27,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
1,es-stress-d2/elasticsearch-dynamic-0,1012.84,40522.28,1414.09,0.0,0,97,557.7351,28.8378,8.5266,0.0,A
1,hotel1/recommendation,1.38,20.71,1119.06,0.0,0,640,805.0718,2.4509,2.6052,0.0,A
1,hotel1/mongodb-geo,10.57,72.14,400.43,0.0,0,573,720.7909,2.4509,8.5266,0.0201,A
1,hotel1/mongodb-profile,10.83,74.54,400.43,0.0,0,739,929.6064,2.4509,8.5266,0.01,A
1,hotel1/mongodb-rate,11.02,73.03,400.43,0.0,0,647,813.8773,2.4509,8.5266,0.01,A
1,hotel1/mongodb-recommendation,12.9,71.6,400.43,0.0,0,326,557.7351,2.4509,8.5266,0.0201,A
1,hotel1/mongodb-reservation,11.02,86.5,400.43,0.0,0,741,932.1222,2.4509,8.5266,0.0,A
1,hotel1/mongodb-user,12.84,73.84,400.43,0.0,0,848,1066.7202,2.4509,8.5266,0.01,A
1,hotel1/profile,1.38,31.08,1119.06,0.0,0,272,557.7351,2.4509,2.6052,0.01,A
1,hotel1/rate,1.23,29.23,1119.14,0.0,0,736,925.8326,2.4509,2.6052,0.0,A
1,hotel1/memcached-reserve,0.39,7.04,79.27,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
2,hotel1/user,1.51,18.71,1119.06,0.0,0,747,598.9897,2.4509,2.6052,0.008,A
2,hotel1/memcached-rate,0.48,7.52,79.27,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
2,hotel1/reservation,1.61,50.76,1119.06,0.0,0,658,557.7351,2.4509,7.3826,0.008,A
2,hotel1/search,0.44,21.81,1119.06,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
2,es-stress-d2/elasticsearch-dynamic-0,1016.71,47277.75,1414.09,0.0039,1,97,557.7351,14.8627,7.3826,0.0,A
2,es-stress-d3/elasticsearch-dynamic-0,1011.54,47005.56,1414.09,0.0,0,126,557.7351,14.782,7.3826,0.0,A
2,es-stress-d4/elasticsearch-dynamic-0,1013.79,45249.49,1414.09,0.0,0,1026,822.7087,14.5187,7.3826,0.0,A
2,es-stress-d5/elasticsearch-dynamic-0,1015.54,48070.71,1414.08,0.0,0,86,557.7351,14.9805,7.3826,0.008,A
2,hotel1/consul,31.03,31.8,212.87,0.0,0,12570,10079.3842,2.4509,7.3826,0.016,A
2,hotel1/frontend,0.48,85.28,1119.14,0.0,0,0,557.7351,2.4509,7.3826,0.0,A
2,hotel1/geo,1.29,23.93,1119.06,0.0,0,606,557.7351,2.4509,2.6052,0.0,A
2,hotel1/jaeger,0.36,14.89,81.01,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
2,hotel1/memcached-profile,0.46,7.7,79.27,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
2,es-stress-d/elasticsearch-dynamic-0,1012.67,47066.53,1414.08,0.0,0,1299,1041.6166,14.7999,7.3826,0.008,A
2,hotel1/memcached-reserve,0.36,7.04,79.27,0.0,0,0,557.7351,2.4509,2.6052,0.008,A
2,hotel1/rate,1.52,29.23,1119.14,0.0,0,738,591.7729,2.4509,2.6052,0.0,A
2,hotel1/profile,1.27,31.08,1119.06,0.0,0,327,557.7351,2.4509,2.6052,0.0,A
2,hotel1/mongodb-user,14.88,73.49,400.43,0.0312,1,528,557.7351,2.4509,7.3826,0.008,A
2,hotel1/mongodb-reservation,13.29,86.25,400.43,0.0352,1,489,557.7351,2.4509,7.3826,0.016,A
2,hotel1/recommendation,1.6,20.71,1119.06,0.0,0,623,557.7351,2.4509,2.6052,0.0,A
2,hotel1/mongodb-rate,13.2,73.15,400.43,0.0312,1,533,557.7351,2.4509,7.3826,0.016,A
2,hotel1/mongodb-profile,13.39,74.08,400.43,0.0312,1,461,557.7351,2.4509,7.3826,0.0,A
2,hotel1/mongodb-geo,13.18,72.04,400.43,0.0312,1,428,557.7351,2.4509,7.3826,0.008,A
2,hotel1/mongodb-recommendation,14.77,71.34,400.43,0.0312,1,422,557.7351,2.4509,7.3826,0.016,A
3,hotel1/user,1.54,18.71,1119.06,0.0,0,373,557.7351,2.4509,2.6052,0.0,A
3,hotel1/memcached-rate,0.46,7.52,79.27,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
3,hotel1/reservation,1.39,50.76,1119.06,0.0,0,470,557.7351,2.4509,6.9746,0.0,A
3,es-stress-d2/elasticsearch-dynamic-0,1010.55,54129.57,1414.09,0.0,0,82,557.7351,436.9901,6.9746,0.0099,A
3,es-stress-d3/elasticsearch-dynamic-0,1009.81,53824.7,1414.09,0.0,0,91,557.7351,435.5851,6.9746,0.0,A
3,es-stress-d4/elasticsearch-dynamic-0,1008.95,51800.56,1414.09,0.0,0,590,557.7351,427.1217,6.9746,0.0099,A
3,es-stress-d5/elasticsearch-dynamic-0,1010.78,54998.38,1414.08,0.0,0,73,557.7351,440.5931,6.9746,0.0197,A
3,hotel1/consul,32.52,31.32,212.87,0.0,0,14857,3672.9962,7.0652,6.9746,0.0296,A
3,hotel1/frontend,0.51,85.27,1119.14,0.0,0,0,557.7351,2.4509,6.9746,0.0,A
3,hotel1/geo,1.35,23.93,1119.06,0.0,0,619,557.7351,2.4509,2.6052,0.0,A
3,hotel1/jaeger,0.32,14.89,81.01,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
