window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts,tier
1,es-stress-d/elasticsearch-dynamic-0,1018.22,14566.64,1414.09,0.0312,9,957,773.2908,25.7849,6.2893,0.0177,A
1,sa1/customer-feedback,117.96,3102.23,6659.51,0.0,0,597,557.7351,4.2345,6.2893,0.212,A
1,hotel1/search,0.95,24.01,1119.06,0.0,0,98,557.7351,2.4509,2.6052,0.0,A
1,hotel1/user,1.52,18.25,1119.06,0.0,0,930,751.4738,2.4509,2.6052,0.0,A
1,es-stress-d3/elasticsearch-dynamic-0,1020.52,14611.41,1414.09,0.0039,1,112,557.7351,25.8537,6.2893,0.0,A
1,es-stress-d4/elasticsearch-dynamic-0,1017.9,14796.39,1414.09,0.0039,1,135,557.7351,25.9834,6.2893,0.0,A
1,hotel1/consul,34.93,32.21,212.87,0.0,0,10914,8818.9083,2.4509,6.2893,0.0354,A
1,hotel1/frontend,1.1,70.47,1119.14,0.0,0,130,557.7351,2.4509,6.2893,0.0,A
1,hotel1/geo,1.61,21.94,1119.06,0.0,0,465,557.7351,2.4509,2.6052,0.0,A
1,hotel1/jaeger,0.32,14.89,81.01,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
1,hotel1/memcached-profile,0.48,7.89,79.27,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
1,hotel1/memcached-rate,0.44,7.52,79.27,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
1,hotel1/memcached-reserve,0.37,7.2,79.27,0.0,0,0,557.7351,2.4509,2.6052,0.0,A
1,es-stress-d2/elasticsearch-dynamic-0,1015.18,14050.61,1414.09,0.0039,1,2019,1631.4253,25.2913,6.2893,0.0177,A
1,hotel1/reservation,1.42,65.52,1119.06,0.0,0,638,557.7351,2.4509,6.2893,0.0,A
1,hotel1/mongodb-profile,12.25,74.44,400.43,0.0,0,415,557.7351,2.4509,6.2893,0.0177,A
1,hotel1/mongodb-rate,11.92,74.39,400.43,0.0,0,496,557.7351,2.4509,6.2893,0.0354,A
1,hotel1/mongodb-recommendation,11.88,72.56,400.43,0.0,0,504,557.7351,2.4509,6.2893,0.0,A
1,hotel1/mongodb-reservation,11.1,245.59,400.43,0.0,0,701,566.4335,2.4509,6.2893,0.0177,A
1,hotel1/mongodb-user,11.53,75.05,400.43,0.0,0,587,557.7351,2.4509,6.2893,0.0177,A
1,hotel1/profile,1.47,39.02,1119.06,0.0,0,576,557.7351,2.4509,2.6052,0.0,A
1,hotel1/rate,1.18,31.09,1119.14,0.0,0,796,643.1969,2.4509,2.6052,0.0,A
1,hotel1/recommendation,1.17,20.91,1119.06,0.0,0,665,557.7351,2.4509,2.6052,0.0,A
1,hotel1/mongodb-geo,12.37,72.7,400.43,0.0,0,543,557.7351,2.4509,6.2893,0.0,A
2,sa1/customer-feedback,2477.31,3104.48,6659.51,0.0,0,830,557.7351,33.9058,207.7753,0.0599,A
2,hotel1/user,35.48,19.12,1119.06,0.0,0,2056,557.7351,2.4509,207.7753,0.0,A
2,hotel1/reservation,2504.85,84.52,1119.06,0.0,0,410196,63965.7405,26.1989,207.7753,0.0,A
2,es-stress-d2/elasticsearch-dynamic-0,1016.16,19692.73,1414.09,0.0273,6,1851,557.7351,62.6554,207.7753,0.563,A
2,es-stress-d3/elasticsearch-dynamic-0,1015.66,20601.78,1414.09,0.0,0,114,557.7351,65.0561,207.7753,0.563,A
2,es-stress-d4/elasticsearch-dynamic-0,1014.97,20814.98,1414.09,0.0039,2,308,557.7351,65.6132,207.7753,0.563,A
2,hotel1/consul,27.64,31.72,212.87,0.0,0,6792,1059.1408,2.4509,207.7753,0.018,A
2,hotel1/frontend,5951.53,132.39,1119.14,0.0,0,593050,92479.8935,62.0676,207.7753,0.006,A
2,hotel1/geo,687.46,32.03,1119.06,0.0,0,3141,557.7351,7.2137,207.7753,0.0,A
