window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts,tier
1,es-stress-d/elasticsearch-dynamic-0,1012.55,23206.58,1414.09,0.0,0,118,68.4948,51.4064,3.9912,0.781,B
1,sn1/media-service,0.0,3.98,251.42,0.0,0,0,0.0,0.0033,1.276,0.0,B
1,sn1/media-mongodb,14.46,69.78,701.62,0.0,0,513,297.7783,0.5176,3.9912,0.0164,B
1,sn1/media-memcached,0.33,4.41,75.33,0.0,0,0,0.0,0.0141,1.276,0.0,B
1,sn1/media-frontend,0.0,2027.74,648.43,0.0,0,0,0.0,1.6782,3.9912,0.0,B
1,sn1/jaeger,0.57,246.46,75.0,0.0,0,0,0.0,0.2221,3.9912,0.0,B
1,sn1/home-timeline-service,0.0,41.72,251.42,0.0,0,0,0.0,0.0345,1.276,0.0,B
1,sn1/post-storage-memcached,0.71,69.48,75.33,0.0,0,855,496.2971,0.0801,3.9912,0.0,B
1,sn1/home-timeline-redis,4.76,1317.99,540.45,0.0,0,1236,717.454,1.2422,3.9912,0.0,B
1,sa1/customer-feedback,123.03,3833.15,7294.74,0.0,0,457,265.2722,7.0849,3.9912,0.074,B
1,sn1/compose-post-service,0.02,16.1,251.42,0.0,0,0,0.0,0.014,1.276,0.0,B
1,sn1/post-storage-mongodb,14.55,1193.02,1006.63,1.0547,42,479,278.0425,1.4501,3.9912,0.0082,B
1,sn1/social-graph-mongodb,14.32,744.52,756.74,1.4336,24,598,347.1177,1.0716,3.9912,0.0164,B
1,sn1/user-timeline-service,0.0,43.23,251.42,0.0,0,0,0.0,0.0358,1.276,0.0,B
1,sn1/user-timeline-redis,4.77,55.63,117.45,0.0,0,1473,855.0241,0.1977,3.9912,0.0,B
1,sn1/user-timeline-mongodb,14.12,2638.34,1095.06,0.0,0,689,399.94,2.6326,3.9912,0.0164,B
1,sn1/user-service,0.02,18.06,251.42,0.0,0,0,0.0,0.0156,1.276,0.0,B
1,sn1/user-mongodb,14.2,93.1,702.3,0.0,0,749,434.7679,0.5286,3.9912,0.0164,B
1,sn1/user-mention-service,0.0,4.96,251.42,0.0,0,0,0.0,0.0041,1.276,0.0,B
1,sn1/post-storage-service,0.0,17.21,251.42,0.0,0,0,0.0,0.0142,1.276,0.0,B
1,sn1/user-memcached,0.4,6.08,75.33,0.0,0,0,0.0,0.0178,1.276,0.0,B
1,sn1/url-shorten-mongodb,14.96,1079.24,872.31,0.0078,4,479,278.0425,1.369,3.9912,0.0164,B
1,sn1/url-shorten-memcached,0.32,4.41,75.33,0.0,0,0,0.0,0.0138,1.276,0.0,B
1,sn1/unique-id-service,0.0,4.07,251.42,0.0,0,0,0.0,0.0034,1.276,0.0,B
1,sn1/text-service,0.01,5.18,251.42,0.0,0,0,0.0,0.0046,1.276,0.0,B
1,sn1/social-graph-service,0.03,31.28,251.42,0.0,0,0,0.0,0.0268,1.276,0.0,B
1,sn1/social-graph-redis,2.55,20.08,103.57,0.0,0,1239,719.1954,0.0977,1.276,0.0082,B
1,sn1/url-shorten-service,0.0,5.36,251.42,0.0,0,0,0.0,0.0044,1.276,0.0,B
1,sn1/nginx-thrift,2.6,31130.2,620.32,0.0,0,1115,647.2178,25.8471,3.9912,0.0,B
1,hotel1/mongodb-user,12.22,76.57,400.43,0.0,0,415,240.8927,0.452,3.9912,0.0082,B
1,hotel1/mongodb-reservation,12.49,267.73,400.43,0.0,0,397,230.4444,0.6188,3.9912,0.0082,B
1,hotel1/mongodb-recommendation,13.02,74.1,400.43,0.0,0,442,256.5653,0.4754,3.9912,0.0,B
1,hotel1/mongodb-rate,11.99,76.41,400.43,0.0,0,414,240.3123,0.4445,3.9912,0.0164,B
1,hotel1/mongodb-profile,12.38,76.3,400.43,0.0,0,610,354.0833,0.4568,3.9912,0.0164,B
1,hotel1/mongodb-geo,12.53,74.72,400.43,0.0,0,480,278.6229,0.4603,3.9912,0.0082,B
1,hotel1/profile,1.12,41.58,1119.06,0.0,0,245,142.2138,0.07,1.276,0.0,B
1,hotel1/memcached-reserve,0.4,7.32,79.27,0.0,0,0,0.0,0.0188,1.276,0.0,B
1,hotel1/memcached-profile,0.47,7.89,79.27,0.0,0,0,0.0,0.0215,1.276,0.0,B
1,hotel1/jaeger,0.31,14.89,81.01,0.0,0,0,0.0,0.0222,1.276,0.0,B
1,hotel1/geo,1.04,25.11,1119.06,0.0,0,204,118.4147,0.0539,1.276,0.0,B
1,hotel1/frontend,0.98,71.6,1119.14,0.0,0,0,0.0,0.0904,3.9912,0.0,B
1,hotel1/consul,30.79,31.84,212.87,0.0,0,12611,7320.237,1.0055,3.9912,0.0164,B
1,hotel1/memcached-rate,0.45,7.52,79.27,0.0,0,0,0.0,0.0205,1.276,0.0,B
1,hotel1/rate,1.68,33.36,1119.14,0.0,0,566,328.5429,0.081,1.276,0.0,B
1,es-stress-d2/elasticsearch-dynamic-0,1011.91,22024.94,1414.09,0.0,0,1705,989.6919,50.4081,3.9912,0.805,B
1,hotel1/reservation,1.75,72.61,1119.06,0.0,0,510,296.0369,0.1157,3.9912,0.0,B
1,hotel1/recommendation,1.51,23.3,1119.06,0.0,0,532,308.8071,0.0673,1.276,0.0,B
1,hotel1/user,1.18,18.99,1119.06,0.0,0,686,398.1986,0.0532,1.276,0.0,B
1,hotel1/search,0.42,25.77,1119.06,0.0,0,0,0.0,0.0347,1.276,0.0,B
2,sn1/media-service,0.02,3.98,251.42,0.0,0,0,0.0,0.0028,1.276,0.0,B
2,sn1/media-mongodb,17.07,69.59,701.62,0.0352,2,625,234.9588,0.4762,4.7036,0.0094,B
2,sn1/media-memcached,0.31,4.41,75.33,0.0,0,0,0.0,0.0105,1.276,0.0,B
2,sn1/media-frontend,0.0,2027.74,648.43,0.0,0,0,0.0,1.1867,4.7036,0.0,B
2,sn1/jaeger,0.54,246.46,75.0,0.0,0,0,0.0,0.158,4.7036,0.0,B
2,sn1/home-timeline-service,0.02,41.72,251.42,0.0,0,0,0.0,0.0249,1.276,0.0,B
2,sa1/customer-feedback,122.72,3833.65,7294.74,0.0,0,483,181.5761,5.3743,4.7036,0.0936,B
2,sn1/compose-post-service,0.0,16.1,251.42,0.0,0,0,0.0,0.0094,1.276,0.0,B
2,sn1/post-storage-memcached,0.75,69.48,75.33,0.0,0,358,134.5844,0.0598,4.7036,0.0,B
2,sn1/home-timeline-redis,4.85,1317.99,540.45,0.0,0,1140,428.5648,0.895,4.7036,0.0094,B
2,sn1/post-storage-mongodb,16.94,1192.8,1006.63,0.0391,2,551,207.1397,1.1302,4.7036,0.0187,B
2,sn1/url-shorten-mongodb,17.86,1079.05,872.31,0.0391,2,729,274.0559,1.0871,4.7036,0.0094,B
2,sn1/social-graph-mongodb,16.41,744.71,756.74,0.0391,2,490,184.2077,0.8545,4.7036,0.0094,B
2,sn1/user-timeline-service,0.15,43.23,251.42,0.0,0,0,0.0,0.0291,1.276,0.0,B
2,sn1/user-timeline-redis,4.96,55.63,117.45,0.0,0,1482,557.1342,0.1591,4.7036,0.0094,B
2,sn1/user-timeline-mongodb,16.56,2637.93,1095.06,3.0859,84,505,189.8467,1.9662,4.7036,0.0187,B
2,sn1/user-service,0.1,18.06,251.42,0.0,0,0,0.0,0.0131,1.276,0.0,B
2,sn1/user-mongodb,17.17,93.07,702.3,0.0586,6,770,289.4692,0.4925,4.7036,0.0094,B
2,sn1/post-storage-service,0.14,17.21,251.42,0.0,0,0,0.0,0.0136,1.276,0.0,B
2,sn1/user-mention-service,0.02,4.96,251.42,0.0,0,0,0.0,0.0034,1.276,0.0,B
2,sn1/url-shorten-service,0.14,5.36,251.42,0.0,0,0,0.0,0.0067,1.276,0.0,B
2,sn1/url-shorten-memcached,0.3,4.41,75.33,0.0,0,0,0.0,0.0102,1.276,0.0,B
2,sn1/unique-id-service,0.02,4.07,251.42,0.0,0,0,0.0,0.0029,1.276,0.0,B
2,sn1/text-service,0.0,5.18,251.42,0.0,0,0,0.0,0.003,1.276,0.0,B
2,sn1/social-graph-service,0.1,31.28,251.42,0.0,0,0,0.0,0.0209,1.276,0.0,B
2,sn1/social-graph-redis,2.92,20.08,103.57,0.0,0,1460,548.8637,0.0862,1.276,0.0,B
2,sn1/user-memcached,0.37,6.08,75.33,0.0,0,0,0.0,0.013,1.276,0.0,B
2,sn1/nginx-thrift,5.7,31130.2,620.32,0.0,0,1651,620.6671,18.3634,4.7036,0.0,B
2,hotel1/mongodb-user,11.71,76.41,400.43,0.0,0,595,223.6808,0.3435,4.7036,0.0094,B
2,hotel1/mongodb-reservation,12.1,267.66,400.43,0.082,15,662,248.8683,0.4653,4.7036,0.0187,B
2,hotel1/mongodb-recommendation,12.12,74.18,400.43,0.0508,8,597,224.4326,0.3526,4.7036,0.0187,B
2,hotel1/mongodb-rate,11.28,76.79,400.43,0.0469,8,419,157.5164,0.3327,4.7036,0.0187,B
2,hotel1/mongodb-profile,11.98,76.56,400.43,0.0,0,695,261.2742,0.3504,4.7036,0.0094,B
2,hotel1/mongodb-geo,12.01,74.8,400.43,0.0,0,589,221.4251,0.3502,4.7036,0.0094,B
2,hotel1/profile,1.64,41.83,1119.06,0.0,0,738,277.4393,0.0663,1.276,0.0,B
2,hotel1/memcached-reserve,0.37,7.32,79.27,0.0,0,0,0.0,0.0137,1.276,0.0094,B
2,hotel1/memcached-profile,0.44,7.89,79.27,0.0,0,0,0.0,0.0158,1.276,0.0,B
2,hotel1/jaeger,0.31,14.89,81.01,0.0,0,0,0.0,0.0166,1.276,0.0,B
2,hotel1/geo,1.72,25.11,1119.06,0.0,0,678,254.8833,0.0586,1.276,0.0,B
2,hotel1/frontend,0.51,71.6,1119.14,0.0,0,0,0.0,0.0549,4.7036,0.0,B
2,hotel1/consul,31.22,32.34,212.87,0.0,0,13592,5109.6954,0.8154,4.7036,0.0281,B
2,es-stress-d2/elasticsearch-dynamic-0,1013.63,28327.58,1414.09,0.0,0,1837,690.5908,42.4371,4.7036,0.899,B
2,hotel1/memcached-rate,0.46,7.52,79.27,0.0,0,0,0.0,0.0161,1.276,0.0,B
2,hotel1/rate,1.11,33.36,1119.14,0.0,0,594,223.3048,0.0478,1.276,0.0,B
2,es-stress-d/elasticsearch-dynamic-0,1016.66,30101.46,1414.09,0.0,0,106,39.849,43.5525,4.7036,0.889,B
2,hotel1/recommendation,1.13,23.3,1119.06,0.0,0,537,201.8766,0.0425,1.276,0.0,B
