window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts,tier
0,hotel/consul,30.34,32.85,201.79,0.0,0,13024,1036.1919,4.7959,3.3171,0.0378,A
0,hotel/frontend,0.51,67.31,1119.14,0.0,0,0,140.9015,0.6192,0.6581,0.0,A
0,hotel/geo,1.95,19.21,1119.06,0.0,0,580,140.9015,0.6192,0.6581,0.0,A
0,hotel/jaeger,0.33,14.88,81.01,0.0,0,0,140.9015,0.6192,0.6581,0.0,A
0,hotel/memcached-profile,0.48,7.58,79.25,0.0,0,0,140.9015,0.6192,0.6581,0.0,A
0,hotel/memcached-rate,0.51,7.41,79.25,0.0,0,0,140.9015,0.6192,0.6581,0.0,A
0,hotel/memcached-reserve,0.38,7.09,79.25,0.0,0,0,140.9015,0.6192,0.6581,0.0,A
0,hotel/mongodb-geo,12.9,169.91,400.43,0.0,0,500,140.9015,2.0391,3.3171,0.0189,A
0,hotel/mongodb-profile,13.05,171.39,400.43,0.0,0,383,140.9015,2.0628,3.3171,0.0189,A
0,hotel/mongodb-rate,11.12,171.86,400.43,0.0,0,375,140.9015,1.7578,3.3171,0.0283,A
0,hotel/mongodb-recommendation,11.98,169.96,400.43,0.0,0,385,140.9015,1.8937,3.3171,0.0189,A
0,hotel/mongodb-reservation,16.83,284.88,400.43,0.1016,6,351,140.9015,2.6603,3.3171,0.0189,A
0,hotel/mongodb-user,10.98,170.51,400.43,0.0,0,474,140.9015,1.7356,3.3171,0.0189,A
0,hotel/profile,1.55,32.16,1119.06,0.0,0,514,140.9015,0.6192,0.6581,0.0,A
0,hotel/rate,1.31,24.29,1119.14,0.0,0,328,140.9015,0.6192,0.6581,0.0,A
0,hotel/recommendation,2.39,19.08,1119.06,0.0,0,847,140.9015,0.6192,0.6581,0.0,A
0,hotel/reservation,1.47,96.77,1119.06,0.0,0,458,140.9015,0.6192,0.6581,0.0,A
0,hotel/search,1.01,24.44,1119.06,0.0,0,78,140.9015,0.6192,0.6581,0.0094,A
0,hotel/user,1.61,14.53,1119.06,0.0,0,506,140.9015,0.6192,0.6581,0.0,A
0,hotel2/consul,29.79,29.08,201.79,0.0,0,11551,918.9997,4.709,3.3171,0.0378,A
0,hotel2/frontend,0.63,58.54,1119.14,0.0,0,0,140.9015,0.6192,0.6581,0.0,A
0,hotel2/geo,1.14,19.1,1119.06,0.0,0,646,140.9015,0.6192,0.6581,0.0,A
0,hotel2/jaeger,0.25,14.89,81.01,0.0,0,0,140.9015,0.6192,0.6581,0.0,A
0,hotel2/memcached-profile,0.49,7.68,79.25,0.0,0,0,140.9015,0.6192,0.6581,0.0,A
0,hotel2/memcached-rate,0.43,7.41,79.25,0.0,0,0,140.9015,0.6192,0.6581,0.0,A
0,hotel2/memcached-reserve,0.38,7.02,79.25,0.0,0,0,140.9015,0.6192,0.6581,0.0,A
0,hotel2/mongodb-geo,10.3,164.59,400.43,0.0,0,463,140.9015,1.6281,3.3171,0.0189,A
0,hotel2/mongodb-profile,10.67,165.11,400.43,0.0,0,456,140.9015,1.6866,3.3171,0.0283,A
0,hotel2/mongodb-rate,10.96,165.25,400.43,0.0,0,434,140.9015,1.7325,3.3171,0.0283,A
0,hotel2/mongodb-recommendation,11.21,162.55,400.43,0.0156,2,441,140.9015,1.772,3.3171,0.0189,A
0,hotel2/mongodb-reservation,11.68,277.05,400.43,0.0156,2,685,140.9015,1.8463,3.3171,0.0189,A
0,hotel2/mongodb-user,10.82,163.64,400.43,0.0,0,399,140.9015,1.7103,3.3171,0.0283,A
0,hotel2/profile,1.25,30.77,1119.06,0.0,0,530,140.9015,0.6192,0.6581,0.0,A
0,hotel2/rate,1.28,21.66,1119.14,0.0,0,592,140.9015,0.6192,0.6581,0.0,A
