window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts,tier
0,hotel/consul,26.97,31.07,201.48,0.0,0,10941,3554.5868,4.7135,4.3843,0.0484,A
0,hotel/frontend,0.51,126.21,1119.14,0.0,0,0,117.4179,0.516,0.5485,0.0,A
0,hotel/geo,1.06,20.12,1119.06,0.0,0,517,167.9665,0.516,0.5485,0.0,A
0,hotel/jaeger,0.32,14.78,81.01,0.0,0,0,117.4179,0.516,0.5485,0.0,A
0,hotel/memcached-profile,0.45,7.76,79.25,0.0,0,0,117.4179,0.516,0.5485,0.0,A
0,hotel/memcached-rate,0.44,7.7,79.25,0.0,0,0,117.4179,0.516,0.5485,0.0,A
0,hotel/memcached-reserve,0.36,7.42,79.25,0.0,0,0,117.4179,0.516,0.5485,0.0,A
0,hotel/mongodb-geo,14.78,69.02,400.43,0.0273,2,602,195.5819,2.5831,4.3843,0.0176,A
0,hotel/mongodb-profile,12.88,70.23,400.43,0.0469,4,251,117.4179,2.251,4.3843,0.0176,A
0,hotel/mongodb-rate,12.58,70.75,400.43,0.0469,10,336,117.4179,2.1986,4.3843,0.022,A
0,hotel/mongodb-recommendation,14.08,68.78,400.43,0.0273,2,346,117.4179,2.4607,4.3843,0.0176,A
0,hotel/mongodb-reservation,12.15,262.36,400.43,0.0312,2,329,117.4179,2.1234,4.3843,0.0176,A
0,hotel/mongodb-user,13.44,68.85,400.43,0.0273,2,341,117.4179,2.3489,4.3843,0.022,A
0,hotel/profile,1.61,38.61,1119.06,0.0,0,902,293.0479,0.516,0.5485,0.0,A
0,hotel/rate,1.8,35.12,1119.14,0.0,0,870,282.6515,0.516,0.5485,0.0,A
0,hotel/recommendation,1.69,18.43,1119.06,0.0,0,921,299.2208,0.516,0.5485,0.0044,A
0,hotel/reservation,1.09,109.56,1119.06,0.0,0,255,117.4179,0.516,0.5485,0.0044,A
0,hotel/search,0.38,33.58,1119.06,0.0,0,0,117.4179,0.516,0.5485,0.0,A
0,hotel/user,1.24,17.03,1119.06,0.0,0,766,248.8633,0.516,0.5485,0.0044,A
0,hotel2/consul,27.53,32.1,201.48,0.0,0,8786,2854.4557,4.8114,4.3843,0.044,A
0,hotel2/frontend,0.57,83.77,1119.14,0.0,0,0,117.4179,0.516,0.5485,0.0,A
0,hotel2/geo,1.24,18.69,1119.06,0.0,0,614,199.4805,0.516,0.5485,0.0,A
0,hotel2/jaeger,0.29,14.73,81.01,0.0,0,0,117.4179,0.516,0.5485,0.0,A
0,hotel2/memcached-profile,0.44,7.64,79.25,0.0,0,0,117.4179,0.516,0.5485,0.0,A
0,hotel2/memcached-rate,0.37,7.67,79.25,0.0,0,0,117.4179,0.516,0.5485,0.0,A
0,hotel2/memcached-reserve,0.39,7.37,79.25,0.0,0,0,117.4179,0.516,0.5485,0.0,A
0,hotel2/mongodb-geo,14.13,68.42,400.43,0.082,12,439,142.6253,2.4695,4.3843,0.022,A
0,hotel2/mongodb-profile,12.22,70.0,400.43,0.0742,10,296,117.4179,2.1357,4.3843,0.0132,A
0,hotel2/mongodb-rate,12.44,69.98,400.43,0.0,0,369,119.8832,2.1741,4.3843,0.022,A
0,hotel2/mongodb-recommendation,12.96,69.23,400.43,0.0703,12,387,125.7312,2.265,4.3843,0.022,A
