window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts,tier
1,es-stress-d/elasticsearch-dynamic-0,6.56,1632.03,1414.18,0.0234,8,2103,2587.19,2.9259,22.866,0.0126,B
1,sa2/customer-feedback,114.09,2951.69,6587.34,0.0,0,456,560.9884,15.7778,22.866,0.19,B
1,sa1/customer-feedback,120.47,8711.04,11974.15,0.0,0,527,648.3353,24.3827,22.866,0.206,B
1,es-stress-d3/elasticsearch-dynamic-0,6.36,1621.63,1414.2,0.0,0,2618,3220.7625,2.891,22.866,0.0126,B
1,es-stress-d4/elasticsearch-dynamic-0,6.57,1647.67,1414.19,0.0,0,2607,3207.2299,2.9485,22.866,0.0084,B
1,es-stress-d5/elasticsearch-dynamic-0,6.35,1635.28,1414.18,0.0,0,2429,2988.2476,2.9088,22.866,0.0084,B
1,es-stress-d2/elasticsearch-dynamic-0,7.1,1677.79,1414.18,0.0,0,2184,2686.8393,3.0444,22.866,0.0084,B
2,sa1/customer-feedback,118.94,8711.18,11974.15,0.0,0,554,322.6967,19.2718,23.6584,0.269,B
2,sa2/customer-feedback,116.06,2951.72,6587.34,0.0,0,497,289.495,8.5709,23.6584,0.23,B
2,es-stress-d2/elasticsearch-dynamic-0,398.67,4202.64,1414.18,0.0039,1,1173,683.2549,18.4911,23.6584,0.0077,B
2,es-stress-d3/elasticsearch-dynamic-0,398.47,4178.2,1414.2,0.0039,1,987,574.9127,18.4406,23.6584,0.023,B
2,es-stress-d4/elasticsearch-dynamic-0,399.31,4134.49,1414.19,0.0,0,1446,842.2732,18.3826,23.6584,0.0154,B
2,es-stress-d5/elasticsearch-dynamic-0,398.25,4102.88,1414.18,0.0156,7,995,579.5725,18.2958,23.6584,0.0154,B
2,es-stress-d/elasticsearch-dynamic-0,398.23,4256.31,1414.18,0.0039,1,1161,676.265,18.5782,23.6584,0.0077,B
3,sa1/customer-feedback,125.27,8711.65,11974.15,3.9141,38,765,2220.9362,9.6319,22.5207,0.0293,B
3,sa2/customer-feedback,103.46,2952.69,6587.34,0.0,0,513,1489.3337,3.9774,22.5207,0.027,B
3,es-stress-d/elasticsearch-dynamic-0,1006.95,11039.6,1414.18,0.0,0,813,2360.2891,22.1164,22.5207,0.161,B
3,es-stress-d2/elasticsearch-dynamic-0,1008.18,10801.36,1414.18,0.0,0,312,905.7936,21.9074,22.5207,0.162,B
3,es-stress-d3/elasticsearch-dynamic-0,1007.12,10880.23,1414.2,0.0,0,201,583.5401,21.969,22.5207,0.159,B
3,es-stress-d5/elasticsearch-dynamic-0,1006.83,10576.65,1414.18,0.0,0,868,2519.9642,21.6809,22.5207,0.16,B
3,es-stress-d4/elasticsearch-dynamic-0,1007.25,10648.24,1414.19,0.0039,1,1474,4279.2941,21.753,22.5207,0.16,B
4,sa1/customer-feedback,121.02,8712.06,11974.15,0.0,0,634,3582.4347,5.9119,23.4747,0.12,B
4,sa2/customer-feedback,103.06,2952.78,6587.34,0.0,0,528,2983.4787,2.6309,23.4747,0.1,B
4,es-stress-d/elasticsearch-dynamic-0,1006.94,17725.51,1414.18,0.0,0,109,615.9075,19.7184,23.4747,0.999,B
4,es-stress-d2/elasticsearch-dynamic-0,1007.72,17450.61,1414.18,0.0,0,385,2175.4532,19.5783,23.4747,1.0,B
