window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts,tier
0,sa/customer-feedback,120.56,13273.13,16362.44,0.0,0,445,3873.6669,11.8468,12.5025,0.106,A
0,sa2/customer-feedback,118.25,7071.54,10390.88,0.0,0,504,4387.2542,11.6198,12.5025,0.0835,A
0,sa3/customer-feedback,122.61,3538.46,7059.51,0.0,0,761,6624.4056,12.0482,12.5025,0.0724,A
0,sa4/customer-feedback,122.74,3404.67,6938.9,0.0,0,563,4900.8415,12.061,12.5025,0.0835,A
0,sa5/customer-feedback,117.46,3217.62,6761.38,0.0,0,488,4247.9763,11.5421,12.5025,0.0947,A
0,sa6/customer-feedback,119.79,2993.63,6584.7,3.832,38,616,5362.1996,11.7711,12.5025,0.078,A
1,sa/customer-feedback,118.03,13281.42,16369.59,3.7539,38,541,2585.837,10.2171,13.1992,0.0399,A
1,sa2/customer-feedback,123.19,7079.12,10398.09,0.0,0,406,2230.9403,10.6638,13.1992,0.046,A
1,sa3/customer-feedback,114.53,3546.54,7066.67,0.0,0,584,2791.3656,9.9141,13.1992,0.0491,A
1,sa4/customer-feedback,123.39,3412.86,6946.01,0.0,0,455,2230.9403,10.6811,13.1992,0.0521,A
1,sa5/customer-feedback,122.08,3226.19,6768.54,3.8047,38,517,2471.1233,10.5677,13.1992,0.0552,A
1,sa6/customer-feedback,116.6,3001.34,6591.87,0.0,0,576,2753.1277,10.0933,13.1992,0.0491,A
2,sa/customer-feedback,117.3,13281.85,16369.59,0.0,0,518,4232.2002,15.3657,15.7903,0.0487,A
2,sa2/customer-feedback,124.77,7079.93,10398.09,0.0,0,510,4166.8381,16.3442,15.7903,0.045,A
2,sa3/customer-feedback,122.83,3547.16,7066.67,0.0,0,483,3946.2408,16.0901,15.7903,0.0562,A
2,sa4/customer-feedback,122.11,3412.71,6946.01,0.0,0,469,3831.857,15.9958,15.7903,0.0487,A
2,sa5/customer-feedback,125.4,3227.03,6768.54,0.0,0,482,3938.0705,16.4268,15.7903,0.0487,A
2,sa6/customer-feedback,119.45,3002.06,6591.87,0.0,0,600,4902.1624,15.6474,15.7903,0.06,A
3,sa/customer-feedback,115.04,13281.77,16369.59,0.0,0,509,3073.8017,13.8767,11.8088,0.0889,A
3,sa2/customer-feedback,124.84,7080.43,10398.09,0.0,0,618,3732.0421,15.0588,11.8088,0.0771,A
3,sa3/customer-feedback,119.48,3547.46,7066.67,0.0,0,514,3103.9962,14.4123,11.8088,0.0889,A
3,sa4/customer-feedback,124.23,3413.2,6946.01,0.0,0,501,3025.4904,14.9852,11.8088,0.0652,A
3,sa5/customer-feedback,120.8,3227.07,6768.54,0.0,0,527,3182.5019,14.5715,11.8088,0.0771,A
3,sa6/customer-feedback,118.76,3002.25,6591.87,3.7812,38,540,3261.0077,14.3254,11.8088,0.119,A
4,sa/customer-feedback,114.42,13282.85,16369.59,0.0,0,526,2230.9403,9.8036,12.1315,0.0914,A
4,sa2/customer-feedback,125.68,7080.51,10398.09,0.0,0,530,2230.9403,9.8036,12.1315,0.0857,A
4,sa3/customer-feedback,119.96,3547.7,7066.67,0.0,0,476,2230.9403,9.8036,12.1315,0.114,A
4,sa4/customer-feedback,122.79,3413.68,6946.01,0.0,0,458,2230.9403,9.8036,12.1315,0.0743,A
4,sa5/customer-feedback,125.24,3227.55,6768.54,0.0,0,577,2230.9403,9.8036,12.1315,0.08,A
4,sa6/customer-feedback,121.16,3002.49,6591.87,0.0,0,619,2230.9403,9.8036,12.1315,0.103,A
5,sa/customer-feedback,111.59,13282.35,16369.59,0.0,0,559,2230.9403,9.8036,13.3072,0.141,A
5,sa2/customer-feedback,117.99,7080.33,10398.09,3.8398,36,662,2230.9403,9.8036,13.3072,0.158,A
5,sa3/customer-feedback,121.9,3548.82,7066.67,0.0,0,544,2230.9403,9.8036,13.3072,0.108,A
5,sa4/customer-feedback,118.73,3413.93,6946.01,3.9258,38,503,2230.9403,9.8036,13.3072,0.133,A
5,sa5/customer-feedback,115.67,3227.34,6768.54,0.0,0,547,2230.9403,9.8036,13.3072,0.108,A
5,sa6/customer-feedback,4634.26,3006.25,6591.87,0.0,0,363,2230.9403,58.106,13.3072,0.158,A
6,sa/customer-feedback,103.27,13282.9,16369.59,0.0,0,1121,2230.9403,9.8036,15.0388,0.033,A
6,sa2/customer-feedback,112.07,7081.25,10398.09,0.0,0,807,2230.9403,9.8036,15.0388,0.0349,A
6,sa3/customer-feedback,109.43,3548.62,7066.67,3.8516,38,570,2230.9403,9.8036,15.0388,0.031,A
6,sa4/customer-feedback,5860.52,3419.43,6946.01,0.0,0,759,2230.9403,9.8036,15.0388,0.0291,A
6,sa5/customer-feedback,14036.08,3237.07,6768.54,0.0,0,2374,2230.9403,19.4553,15.0388,4.74,A
6,sa6/customer-feedback,16538.76,3009.1,6591.87,0.0,0,27672,10158.4325,22.9243,15.0388,5.01,A
7,sa/customer-feedback,14465.09,13291.0,16369.59,3.8398,36,414,2230.9403,41.0797,19.358,11.2,A
7,sa2/customer-feedback,10336.99,7084.74,10398.09,0.0,0,1358,2230.9403,29.3563,19.358,0.105,A
7,sa3/customer-feedback,3103.27,3554.1,7066.67,0.0,0,1532,2230.9403,9.8036,19.358,0.0908,A
7,sa4/customer-feedback,17975.31,3421.88,6946.01,0.0,0,11897,15298.8175,51.0485,19.358,17.5,A
7,sa5/customer-feedback,13985.05,3235.07,6768.54,3.832,38,1585,2230.9403,39.7165,19.358,10.4,A
7,sa6/customer-feedback,15559.21,3022.71,6591.87,0.0,0,1672,2230.9403,44.187,19.358,12.3,A
8,sa/customer-feedback,12963.51,13291.14,16369.59,0.0,0,1726,2230.9403,9.8036,20.0002,14.5,A
8,sa2/customer-feedback,14784.69,7088.39,10398.09,0.0,0,2341,2284.1614,9.8036,20.0002,14.0,A
8,sa3/customer-feedback,14157.08,3556.79,7066.67,0.0,0,5010,4888.359,9.8036,20.0002,16.7,A
8,sa4/customer-feedback,13341.0,3425.34,6946.01,0.0,0,561,2230.9403,9.8036,20.0002,15.8,A
8,sa5/customer-feedback,13716.29,3236.35,6768.54,0.0,0,4307,4202.4276,9.8036,20.0002,19.3,A
8,sa6/customer-feedback,18089.62,3031.39,6591.87,0.0,0,6242,6090.4465,10.9695,20.0002,19.3,A
