window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts,tier
0,sn/compose-post-service,0.0,32.88,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn/home-timeline-redis,4.61,2691.95,1073.67,0.0,0,1346,462.5039,0.377,1.1579,0.0056,B
0,sn/home-timeline-service,0.02,55.12,251.42,0.0,0,0,0.0,0.0016,1.1579,0.0,B
0,sn/jaeger,485.08,1599.67,75.0,0.0,0,103,35.3922,39.6714,4.5848,0.0,B
0,sn/media-frontend,0.0,2026.21,648.43,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn/media-memcached,0.24,4.66,75.33,0.0,0,0,0.0,0.0196,1.1579,0.0,B
0,sn/media-mongodb,17.2,91.07,712.13,0.0273,4,1368,470.0634,1.4067,4.5848,0.014,B
0,sn/media-service,0.0,4.57,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn/nginx-thrift,1.82,33139.62,620.32,0.0,0,1289,442.9179,0.1488,1.1579,0.0,B
0,sn/post-storage-memcached,0.68,69.89,75.33,0.0,0,397,136.4146,0.0556,1.1579,0.0028,B
0,sn/post-storage-mongodb,14.34,8191.54,3273.34,0.0234,2,533,183.146,1.1728,4.5848,0.014,B
0,sn/post-storage-service,0.06,54.98,251.42,0.0,0,0,0.0,0.0049,1.1579,0.0,B
0,sn/social-graph-mongodb,14.78,618.0,767.95,0.0234,2,589,202.3884,1.2088,4.5848,0.0112,B
0,sn/social-graph-redis,1.72,20.25,103.57,0.0,0,768,263.8952,0.1407,1.1579,0.0,B
0,sn/social-graph-service,0.0,30.2,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn/text-service,0.0,6.62,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn/unique-id-service,0.0,4.55,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn/url-shorten-memcached,0.3,4.64,75.33,0.0,0,0,0.0,0.0245,1.1579,0.0,B
0,sn/url-shorten-mongodb,14.59,7697.95,2073.95,0.0234,2,538,184.8641,1.1932,4.5848,0.0112,B
0,sn/url-shorten-service,0.0,6.14,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn/user-memcached,0.34,6.38,75.33,0.0,0,0,0.0,0.0278,1.1579,0.0,B
0,sn/user-mention-service,0.0,5.49,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn/user-mongodb,14.75,116.79,712.99,0.0234,2,529,181.7716,1.2063,4.5848,0.014,B
0,sn/user-service,0.0,19.04,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn/user-timeline-mongodb,28.3,120.41,709.96,0.0,0,6219,2136.9329,2.3145,4.5848,0.0279,B
0,sn/user-timeline-redis,4.47,93.57,136.66,0.0,0,1392,478.3101,0.3656,1.1579,0.0028,B
0,sn/user-timeline-service,0.0,301.4,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn2/compose-post-service,0.0,29.43,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn2/home-timeline-redis,4.81,2737.41,1112.25,0.0,0,1359,466.9709,0.3934,1.1579,0.0084,B
0,sn2/home-timeline-service,0.0,48.25,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn2/jaeger,0.52,1985.63,75.0,0.0,0,0,0.0,0.0425,1.1579,0.0,B
0,sn2/media-frontend,0.0,2022.62,648.43,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn2/media-memcached,0.28,4.62,75.33,0.0,0,0,0.0,0.0229,1.1579,0.0,B
0,sn2/media-mongodb,15.17,90.54,711.72,0.0391,6,412,141.5688,1.2407,4.5848,0.014,B
0,sn2/media-service,0.0,4.55,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn2/nginx-thrift,1.72,35194.53,620.32,0.0,0,1442,495.4908,0.1407,1.1579,0.0112,B
0,sn2/post-storage-memcached,0.7,69.87,75.33,0.0,0,815,280.0451,0.0572,1.1579,0.0,B
0,sn2/post-storage-mongodb,14.95,8191.34,3979.17,0.0312,2,581,199.6395,1.2227,4.5848,0.0112,B
0,sn2/post-storage-service,0.03,65.2,251.42,0.0,0,0,0.0,0.0025,1.1579,0.0,B
0,sn2/social-graph-mongodb,15.03,626.04,767.57,0.0312,2,426,146.3794,1.2292,4.5848,0.0112,B
0,sn2/social-graph-redis,2.73,20.27,103.57,0.0,0,1601,550.1254,0.2233,1.1579,0.0028,B
0,sn2/social-graph-service,0.0,29.05,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn2/text-service,0.0,8.39,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn2/unique-id-service,0.0,4.41,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
0,sn2/url-shorten-memcached,0.28,4.62,75.33,0.0,0,0,0.0,0.0229,1.1579,0.0,B
0,sn2/url-shorten-mongodb,14.77,8191.74,2433.86,0.043,4,410,140.8816,1.2079,4.5848,0.014,B
0,sn2/url-shorten-service,0.02,6.33,251.42,0.0,0,0,0.0,0.0016,1.1579,0.0,B
0,sn2/user-memcached,0.35,6.35,75.33,0.0,0,0,0.0,0.0286,1.1579,0.0,B
0,sn2/user-mention-service,0.11,8.51,251.42,0.0,0,0,0.0,0.009,1.1579,0.0,B
0,sn2/user-mongodb,14.58,124.64,712.56,0.0625,8,351,120.6084,1.1924,4.5848,0.0112,B
0,sn2/user-service,0.02,19.7,251.42,0.0,0,0,0.0,0.0016,1.1579,0.0,B
0,sn2/user-timeline-mongodb,27.79,108.89,709.85,0.0195,2,7298,2507.6919,2.2728,4.5848,0.0251,B
0,sn2/user-timeline-redis,4.5,94.76,137.42,0.0,0,1400,481.059,0.368,1.1579,0.0056,B
0,sn2/user-timeline-service,0.09,369.15,251.42,0.0,0,0,0.0,0.0074,1.1579,0.0,B
1,sn/compose-post-service,0.01,32.88,251.42,0.0,0,0,0.0,0.0015,1.1579,0.0,B
1,sn/home-timeline-redis,4.68,2691.95,1073.67,0.0,0,1391,789.0542,0.6859,1.1579,0.0011,B
1,sn/home-timeline-service,0.0,55.12,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
1,sn/jaeger,71.25,1599.43,75.0,0.0,0,8,4.5381,10.4419,6.0412,0.297,B
1,sn/media-frontend,0.0,2026.21,648.43,0.0,0,0,0.0,0.0,1.1579,0.0,B
1,sn/media-memcached,0.28,4.66,75.33,0.0,0,0,0.0,0.041,1.1579,0.0,B
1,sn/media-mongodb,14.41,91.01,712.13,0.0,0,446,252.9965,2.1118,6.0412,0.0053,B
1,sn/media-service,0.03,4.57,251.42,0.0,0,0,0.0,0.0044,1.1579,0.0,B
1,sn/nginx-thrift,6.41,33139.62,620.32,0.0,0,1448,821.3878,0.9394,1.1579,0.0021,B
1,sn/post-storage-memcached,0.69,69.89,75.33,0.0,0,789,447.5656,0.1011,1.1579,0.0,B
1,sn/post-storage-mongodb,13.6,8191.54,3273.34,9.082,178,552,313.1257,1.9931,6.0412,0.0053,B
1,sn/post-storage-service,0.0,54.98,251.42,0.0,0,0,0.0,0.0,1.1579,0.0,B
1,sn/social-graph-mongodb,14.97,618.38,767.95,0.0,0,620,351.6992,2.1939,6.0412,0.0053,B
1,sn/social-graph-redis,2.25,20.25,103.57,0.0,0,1135,643.8364,0.3297,1.1579,0.0,B
1,sn/social-graph-service,0.12,30.2,251.42,0.0,0,0,0.0,0.0176,1.1579,0.0,B
1,sn/text-service,0.03,6.62,251.42,0.0,0,0,0.0,0.0044,1.1579,0.0,B
1,sn/unique-id-service,0.02,4.55,251.42,0.0,0,0,0.0,0.0029,1.1579,0.0,B
1,sn/url-shorten-memcached,0.3,4.64,75.33,0.0,0,0,0.0,0.044,1.1579,0.0011,B
1,sn/url-shorten-mongodb,14.64,7698.02,2073.95,0.0,0,562,318.7983,2.1455,6.0412,0.0053,B
1,sn/url-shorten-service,0.12,6.14,251.42,0.0,0,0,0.0,0.0176,1.1579,0.0,B
1,sn/user-memcached,0.38,6.38,75.33,0.0,0,0,0.0,0.0557,1.1579,0.0,B
1,sn/user-mention-service,0.03,5.49,251.42,0.0,0,0,0.0,0.0044,1.1579,0.0,B
1,sn/user-mongodb,17.58,116.48,712.99,0.0039,2,481,272.8505,2.5764,6.0412,0.0053,B
1,sn/user-service,0.11,19.04,251.42,0.0,0,0,0.0,0.0161,1.1579,0.0,B
1,sn/user-timeline-mongodb,28.07,120.0,709.96,0.0,0,8648,4905.6365,4.1137,6.0412,0.0107,B
1,sn/user-timeline-redis,4.54,93.57,136.66,0.0,0,1403,795.8612,0.6654,1.1579,0.0011,B
1,sn/user-timeline-service,0.13,301.41,251.42,0.0,0,0,0.0,0.0191,1.1579,0.0,B
1,sn2/compose-post-service,0.02,29.43,251.42,0.0,0,0,0.0,0.0029,1.1579,0.0,B
1,sn2/home-timeline-redis,4.77,2737.41,1112.25,0.0,0,1396,791.8904,0.6991,1.1579,0.0021,B
1,sn2/home-timeline-service,0.02,48.25,251.42,0.0,0,0,0.0,0.0029,1.1579,0.0,B
1,sn2/jaeger,0.57,1985.63,75.0,0.0,0,0,0.0,0.0835,1.1579,0.0,B
1,sn2/media-frontend,0.0,2022.62,648.43,0.0,0,0,0.0,0.0,1.1579,0.0,B
1,sn2/media-memcached,0.3,4.62,75.33,0.0,0,0,0.0,0.044,1.1579,0.0,B
1,sn2/media-mongodb,14.11,90.61,711.72,0.0,0,430,243.9204,2.0679,6.0412,0.0043,B
1,sn2/media-service,0.03,4.55,251.42,0.0,0,0,0.0,0.0044,1.1579,0.0,B
1,sn2/nginx-thrift,6.63,35194.53,620.32,0.0,0,1392,789.6214,0.9716,1.1579,0.0021,B
1,sn2/post-storage-memcached,0.73,69.87,75.33,0.0,0,404,229.1717,0.107,1.1579,0.0,B
1,sn2/post-storage-mongodb,14.74,8191.59,3979.17,0.0,0,877,497.4842,2.1602,6.0412,0.0053,B
1,sn2/post-storage-service,0.1,65.2,251.42,0.0,0,0,0.0,0.0147,1.1579,0.0,B
1,sn2/social-graph-mongodb,18.91,625.98,767.57,0.0039,2,480,272.2832,2.7713,6.0412,0.0053,B
1,sn2/social-graph-redis,2.76,20.27,103.57,0.0,0,1588,900.8037,0.4045,1.1579,0.0021,B
1,sn2/social-graph-service,0.14,29.05,251.42,0.0,0,0,0.0,0.0205,1.1579,0.0,B
1,sn2/text-service,0.03,8.39,251.42,0.0,0,0,0.0,0.0044,1.1579,0.0,B
