window_index,pod_name,cpu_usage_mcores,ram_usage_mi,disk_space_mb,disk_usage_mb,disk_ios,cpu_psi_some_us,sched_total_ms,dstate_total_ms,softirq_total_ms,pod_cpu_watts,tier
0,sa1/customer-feedback,13480.28,4062.07,7506.02,0.0,0,304,234.8358,57.3108,5.7797,13.6,A
0,sa2/customer-feedback,106.89,3080.11,6650.23,0.0,0,615,234.8358,1.032,5.7797,0.13,A
0,sa3/customer-feedback,82.74,2981.45,6577.23,0.3164,6,586,234.8358,1.032,5.7797,0.0932,A
0,sn1/compose-post-service,0.02,29.39,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/home-timeline-redis,5.13,2776.54,1135.86,0.0,0,1132,344.5225,1.032,1.0969,0.0093,A
0,sn1/home-timeline-service,0.02,71.42,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/jaeger,0.55,727.59,75.0,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/media-frontend,0.0,2026.63,648.43,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/media-memcached,0.35,4.64,75.33,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/media-mongodb,15.51,69.24,701.44,0.1523,16,420,234.8358,1.032,5.7797,0.0373,A
0,sn1/media-service,0.0,4.54,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/nginx-thrift,5.97,31968.4,620.32,0.0,0,987,300.392,1.032,1.0969,0.0,A
0,sn1/post-storage-memcached,0.73,69.85,75.33,0.0,0,275,234.8358,1.032,1.0969,0.0,A
0,sn1/post-storage-mongodb,15.34,3624.93,1734.71,0.0352,2,460,234.8358,1.032,5.7797,0.028,A
0,sn1/post-storage-service,0.07,91.84,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/social-graph-mongodb,15.75,749.61,757.65,1.2031,30,305,234.8358,1.032,5.7797,0.028,A
0,sn1/social-graph-redis,2.81,20.38,103.57,0.0,0,1611,490.3054,1.032,1.0969,0.0,A
0,sn1/social-graph-service,0.12,33.07,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/text-service,0.03,6.77,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/unique-id-service,0.02,4.5,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/url-shorten-memcached,0.33,4.64,75.33,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/url-shorten-mongodb,15.01,3207.4,1238.35,0.0352,2,372,234.8358,1.032,5.7797,0.028,A
0,sn1/url-shorten-service,0.09,6.86,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/user-memcached,0.39,6.36,75.33,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/user-mention-service,0.03,5.71,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/user-mongodb,16.17,93.21,702.03,0.0312,2,459,234.8358,1.032,5.7797,0.0186,A
0,sn1/user-service,0.11,18.89,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn1/user-timeline-mongodb,27.73,97.76,700.87,0.0,0,6042,1838.8736,1.032,5.7797,0.0373,A
0,sn1/user-timeline-redis,4.32,96.29,137.63,0.0,0,907,276.0441,1.032,1.0969,0.0093,A
0,sn1/user-timeline-service,0.03,123.79,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/compose-post-service,0.0,29.06,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/home-timeline-redis,5.22,2776.14,1142.47,0.0,0,955,290.6528,1.032,1.0969,0.0093,A
0,sn2/home-timeline-service,0.03,57.76,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/jaeger,0.65,697.73,75.0,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/media-frontend,0.0,2023.75,648.43,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/media-memcached,0.35,4.62,75.33,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/media-mongodb,16.57,68.88,701.44,0.0508,4,533,234.8358,1.032,5.7797,0.028,A
0,sn2/media-service,0.0,4.45,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/nginx-thrift,1.79,31884.12,620.32,0.0,0,1262,384.0878,1.032,1.0969,0.0093,A
0,sn2/post-storage-memcached,0.68,69.78,75.33,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/post-storage-mongodb,16.14,3476.29,1699.59,0.0664,4,489,234.8358,1.032,5.7797,0.0373,A
0,sn2/post-storage-service,0.14,58.85,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/social-graph-mongodb,14.54,713.61,756.33,0.043,6,444,234.8358,1.032,5.7797,0.028,A
0,sn2/social-graph-redis,2.72,20.54,103.57,0.0,0,1397,425.1748,1.032,1.0969,0.0,A
0,sn2/social-graph-service,0.14,28.18,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/text-service,0.02,6.29,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/unique-id-service,0.02,4.44,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/url-shorten-memcached,0.31,4.62,75.33,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/url-shorten-mongodb,15.46,3037.53,1223.03,0.0391,4,312,234.8358,1.032,5.7797,0.0186,A
0,sn2/url-shorten-service,0.02,5.98,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/user-memcached,0.35,6.33,75.33,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/user-mention-service,0.02,6.08,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/user-mongodb,13.18,95.91,702.15,0.0,0,453,234.8358,1.032,5.7797,0.028,A
0,sn2/user-service,0.02,18.75,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
0,sn2/user-timeline-mongodb,29.15,101.52,700.87,0.0195,2,5127,1560.3947,1.032,5.7797,0.0373,A
0,sn2/user-timeline-redis,4.57,95.18,137.56,0.0,0,1274,387.74,1.032,1.0969,0.0093,A
0,sn2/user-timeline-service,0.14,123.76,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sa1/customer-feedback,13185.05,4061.61,7506.02,0.0,0,312,234.8358,61.4625,6.2388,12.6,A
1,sa2/customer-feedback,106.65,3080.08,6650.23,0.0,0,572,234.8358,1.032,6.2388,0.106,A
1,sa3/customer-feedback,81.87,2981.03,6577.23,0.3594,8,484,234.8358,1.032,6.2388,0.0813,A
1,sn1/compose-post-service,0.0,29.39,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/home-timeline-redis,5.13,2776.54,1135.86,0.0,0,1134,381.6604,1.032,1.0969,0.0081,A
1,sn1/home-timeline-service,0.0,71.42,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/jaeger,0.53,727.59,75.0,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/media-frontend,0.0,2026.63,648.43,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/media-memcached,0.33,4.64,75.33,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/media-mongodb,14.36,68.99,701.44,0.0,0,582,234.8358,1.032,6.2388,0.0163,A
1,sn1/media-service,0.04,4.54,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/nginx-thrift,2.47,31968.4,620.32,0.0,0,1017,342.2828,1.032,1.0969,0.0163,A
1,sn1/post-storage-memcached,0.72,69.85,75.33,0.0,0,385,234.8358,1.032,1.0969,0.0081,A
1,sn1/post-storage-mongodb,13.27,3624.68,1734.71,0.0039,2,442,234.8358,1.032,6.2388,0.0163,A
1,sn1/post-storage-service,0.03,91.84,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/social-graph-mongodb,12.83,749.61,757.65,0.0,0,412,234.8358,1.032,6.2388,0.0163,A
1,sn1/social-graph-redis,2.79,20.12,103.57,0.0,0,1106,372.2367,1.032,1.0969,0.0081,A
1,sn1/social-graph-service,0.0,33.07,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/text-service,0.0,6.77,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/unique-id-service,0.0,4.5,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/url-shorten-memcached,0.36,4.64,75.33,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/url-shorten-mongodb,18.0,3207.64,1238.35,0.0039,2,308,234.8358,1.032,6.2388,0.0325,A
1,sn1/url-shorten-service,0.0,6.86,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/user-memcached,0.39,6.36,75.33,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/user-mention-service,0.0,5.71,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/user-mongodb,12.65,93.2,702.03,0.418,24,366,234.8358,1.032,6.2388,0.0163,A
1,sn1/user-service,0.02,18.89,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn1/user-timeline-mongodb,30.51,97.62,700.87,0.0234,4,5601,1885.0794,1.032,6.2388,0.0325,A
1,sn1/user-timeline-redis,4.35,96.04,137.63,0.0,0,910,306.2707,1.032,1.0969,0.0,A
1,sn1/user-timeline-service,0.1,123.79,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn2/compose-post-service,0.02,29.06,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn2/home-timeline-redis,5.29,2775.64,1142.47,0.0,0,1041,350.3602,1.032,1.0969,0.0163,A
1,sn2/home-timeline-service,0.0,57.76,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn2/jaeger,0.54,697.73,75.0,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn2/media-frontend,0.0,2023.75,648.43,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn2/media-memcached,0.3,4.62,75.33,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn2/media-mongodb,12.18,69.22,701.44,0.0,0,390,234.8358,1.032,6.2388,0.0163,A
1,sn2/media-service,0.04,4.45,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
1,sn2/nginx-thrift,6.36,31884.12,620.32,0.0,0,1364,459.0695,1.032,1.0969,0.0,A
1,sn2/post-storage-memcached,0.67,69.78,75.33,0.0,0,805,270.9318,1.032,1.0969,0.0,A
1,sn2/post-storage-mongodb,13.82,3476.32,1699.59,0.0039,2,559,234.8358,1.032,6.2388,0.0163,A
1,sn2/post-storage-service,0.0,58.85,251.42,0.0,0,0,234.8358,1.032,1.0969,0.0,A
